distance_km,current_speed_kmh,hour_of_day,day_of_week,is_weekend,traffic_level,eta_minutes
7.245,33.79,7,5,1,0.169,14.2
1.902,38.02,22,3,0,0.104,4.66
12.034,36.39,15,5,1,0.07,22.32
13.942,24.05,11,0,0,0.553,36.08
9.542,32.97,17,6,1,0.259,17.76
1.415,41.79,3,0,0,0.068,2.89
6.023,39.96,1,2,0,0.072,9.74
14.165,38.7,17,6,1,0.049,23.93
8.832,37.59,4,3,0,0.063,16.29
13.087,35.11,5,2,0,0.237,23.12
1.673,36.99,20,2,0,0.052,5.15
9.794,37.94,1,0,0,0.144,16.27
9.292,31.68,0,5,1,0.269,19.98
12.465,31.97,12,4,0,0.337,24.59
7.839,30.31,14,3,0,0.324,17.0
14.079,20.54,19,1,0,0.711,43.25
0.505,32.97,10,5,1,0.181,2.33
3.281,29.3,1,5,1,0.298,6.86
10.578,37.07,8,6,1,0.072,18.85
1.403,31.17,3,3,0,0.299,4.74
9.421,12.38,19,4,0,0.85,45.98
13.356,36.99,2,6,1,0.158,22.87
3.065,39.04,21,4,0,0.003,4.76
4.267,34.96,9,6,1,0.041,8.66
3.62,37.95,20,1,0,0.072,6.0
8.445,38.63,20,3,0,0.08,13.49
2.344,39.59,1,3,0,0.073,5.09
12.964,13.29,9,4,0,0.982,58.86
1.981,32.57,23,0,0,0.283,4.28
11.827,34.21,10,6,1,0.198,22.98
9.732,29.25,14,0,0,0.32,21.8
7.927,39.77,4,4,0,0.011,13.82
10.056,21.04,18,2,0,0.605,29.55
11.732,36.99,6,2,0,0.056,19.47
1.927,41.32,21,1,0,0.006,4.36
6.038,20.71,17,2,0,0.649,19.03
11.732,16.3,8,0,0,0.812,45.65
9.227,37.02,20,6,1,0.156,16.5
2.771,37.83,9,6,1,0.033,5.34
8.476,38.0,17,5,1,0.082,15.7
10.302,41.01,18,5,1,0.004,15.72
8.388,37.6,20,4,0,0.066,15.83
11.349,38.26,13,6,1,0.054,19.68
4.405,30.15,12,1,0,0.332,10.48
1.832,35.26,17,6,1,0.147,4.15
11.494,36.09,0,2,0,0.089,20.52
10.489,33.72,6,3,0,0.191,19.82
0.635,34.61,0,3,0,0.218,3.58
1.938,23.42,9,1,0,0.682,6.51
3.226,17.76,8,4,0,0.815,12.21
12.797,31.56,21,3,0,0.224,24.7
4.931,29.97,23,2,0,0.299,10.79
7.005,10.73,19,1,0,0.954,40.21
10.586,36.98,20,1,0,0.186,18.06
12.016,19.93,19,0,0,0.835,36.33
8.91,34.85,22,3,0,0.168,16.85
10.309,20.17,17,2,0,0.708,30.86
1.349,26.98,12,3,0,0.535,4.77
11.935,20.47,18,4,0,0.659,35.2
3.699,22.64,14,2,0,0.52,10.55
3.015,36.65,5,3,0,0.149,7.41
11.335,30.6,6,0,0,0.285,22.73
8.7,22.43,9,1,0,0.666,24.74
10.616,26.21,12,2,0,0.582,24.95
6.73,14.54,18,4,0,0.937,28.92
7.503,38.52,5,1,0,0.024,13.51
7.699,39.53,0,0,0,0.002,13.99
7.345,36.13,20,5,1,0.085,12.31
1.026,36.08,6,2,0,0.083,3.82
4.388,10.74,8,4,0,0.941,24.63
9.486,30.3,10,0,0,0.404,19.0
3.933,30.82,23,2,0,0.289,9.06
14.084,19.84,9,1,0,0.768,45.05
4.22,36.96,2,6,1,0.059,8.26
7.227,35.96,20,3,0,0.105,14.18
8.638,19.44,16,4,0,0.691,27.67
8.367,33.38,6,5,1,0.165,17.16
6.715,35.25,4,1,0,0.199,11.97
1.915,25.07,15,2,0,0.495,5.86
12.193,22.73,9,2,0,0.621,34.15
3.42,40.36,6,4,0,0.049,6.38
3.471,31.46,20,6,1,0.264,8.8
3.963,17.53,8,1,0,0.9,13.79
5.483,31.35,11,0,0,0.417,12.49
5.893,36.47,22,0,0,0.119,10.18
3.207,13.0,7,3,0,0.917,16.24
9.701,36.78,22,0,0,0.119,16.22
10.591,30.22,11,1,0,0.395,23.17
13.639,11.68,17,2,0,0.993,70.51
13.463,28.36,15,2,0,0.394,30.48
14.532,14.98,18,0,0,0.921,59.25
14.77,34.68,20,5,1,0.19,25.97
13.288,33.48,22,2,0,0.206,24.76
14.615,13.75,8,3,0,0.967,64.03
11.514,21.52,10,1,0,0.546,33.34
12.51,29.74,15,4,0,0.334,25.46
10.927,31.22,2,3,0,0.272,22.53
6.815,33.84,21,0,0,0.252,13.26
14.697,37.17,2,0,0,0.038,25.44
1.51,34.59,6,5,1,0.257,3.19
12.637,36.64,22,6,1,0.102,21.6
1.493,35.16,20,4,0,0.196,4.89
13.132,31.56,6,0,0,0.237,27.24
10.226,40.32,22,2,0,0.033,16.33
7.175,35.79,3,4,0,0.164,12.31
6.627,32.19,7,5,1,0.275,13.05
12.946,33.46,18,5,1,0.273,23.26
14.461,17.09,8,2,0,0.851,52.11
9.709,35.61,19,5,1,0.066,18.42
1.576,15.81,8,2,0,0.892,7.48
1.435,17.07,7,1,0,0.867,5.51
1.645,36.72,16,5,1,0.129,3.36
11.943,33.25,20,6,1,0.198,22.77
11.195,21.76,8,4,0,0.613,33.04
1.438,32.49,0,4,0,0.208,3.51
2.89,34.53,21,4,0,0.189,6.5
10.688,35.33,3,6,1,0.154,19.37
9.957,34.76,1,1,0,0.142,19.65
4.4,33.72,5,5,1,0.267,8.43
7.31,26.68,12,0,0,0.487,17.61
6.988,16.95,19,0,0,0.807,26.74
8.795,21.57,9,2,0,0.618,25.15
12.342,15.59,16,0,0,0.927,48.93
0.93,31.79,10,5,1,0.298,2.08
4.484,34.38,0,3,0,0.219,8.47
10.282,35.12,0,4,0,0.216,19.95
10.96,33.41,13,6,1,0.215,21.35
12.105,40.09,3,1,0,0.028,19.61
8.469,20.37,16,0,0,0.762,25.97
9.868,12.04,9,1,0,0.955,50.69
7.781,38.58,18,5,1,0.035,13.7
11.244,35.04,5,2,0,0.16,19.61
0.67,27.55,11,2,0,0.435,3.73
12.216,38.28,22,0,0,0.02,20.12
12.852,41.03,3,2,0,0.023,20.27
3.781,32.99,2,2,0,0.257,9.17
6.749,18.64,7,2,0,0.833,23.49
10.482,36.1,6,1,0,0.05,18.5
2.568,39.06,23,0,0,0.104,4.8
1.54,32.84,10,0,0,0.33,4.93
8.201,25.32,15,3,0,0.474,19.85
14.594,35.74,23,2,0,0.16,24.84
1.94,29.57,13,5,1,0.278,4.72
2.632,36.73,20,5,1,0.039,6.39
5.871,34.3,4,2,0,0.267,12.73
4.682,37.28,14,5,1,0.117,8.5
5.436,41.3,3,4,0,0.046,9.8
12.588,23.16,18,2,0,0.721,33.26
3.322,16.4,16,4,0,0.737,13.61
2.518,35.86,2,4,0,0.188,5.44
6.326,14.99,16,2,0,0.952,26.87
3.419,35.78,20,3,0,0.256,7.51
13.651,35.56,20,1,0,0.217,23.36
11.962,34.43,4,0,0,0.204,22.01
1.0,30.66,5,0,0,0.285,3.84
7.633,35.92,22,1,0,0.147,14.06
8.659,34.58,22,6,1,0.182,16.84
13.47,14.94,17,3,0,0.931,55.99
8.816,31.66,12,2,0,0.36,18.94
1.406,35.93,5,2,0,0.134,3.62
9.586,37.68,22,1,0,0.143,16.99
2.449,34.66,20,3,0,0.241,4.94
3.555,24.65,14,2,0,0.599,9.39
0.708,33.76,0,3,0,0.25,3.11
2.571,14.27,7,4,0,0.929,12.57
2.014,34.14,22,0,0,0.217,4.24
10.467,37.23,5,2,0,0.105,19.24
1.549,13.27,18,2,0,0.948,8.71
2.138,36.22,1,1,0,0.073,5.32
10.169,36.52,1,6,1,0.12,17.44
2.709,41.54,22,2,0,0.007,5.28
3.679,30.22,12,4,0,0.364,8.35
11.514,39.06,16,6,1,0.151,19.25
1.541,34.17,17,5,1,0.139,3.29
4.896,34.23,14,5,1,0.169,8.98
13.289,36.27,23,1,0,0.217,22.66
6.335,15.47,16,1,0,0.913,26.81
8.957,21.78,7,0,0,0.736,27.02
1.699,29.67,10,0,0,0.408,4.22
11.94,27.22,14,2,0,0.43,28.59
5.971,30.75,11,2,0,0.327,12.62
9.674,42.94,23,6,1,0.001,13.94
10.839,21.9,12,4,0,0.59,29.96
11.836,32.78,11,4,0,0.314,22.56
14.374,17.25,8,2,0,0.783,50.93
1.259,16.7,8,4,0,0.767,6.58
12.83,27.64,15,0,0,0.497,28.39
10.328,29.01,12,4,0,0.389,21.71
9.949,17.88,17,2,0,0.726,35.17
3.389,40.05,3,4,0,0.086,6.0
1.342,36.78,21,5,1,0.155,2.23
5.997,39.07,23,1,0,0.006,9.52
6.498,36.84,2,6,1,0.099,12.39
13.226,38.05,5,0,0,0.094,22.79
11.707,13.28,7,3,0,0.99,53.2
4.351,34.39,20,0,0,0.232,8.89
5.547,27.57,11,2,0,0.499,13.76
8.431,16.61,7,0,0,0.842,31.19
3.503,34.26,3,2,0,0.213,7.32
1.366,27.66,11,1,0,0.475,5.44
3.968,33.54,23,3,0,0.163,7.59
2.542,15.8,9,2,0,0.831,10.02
12.261,17.1,7,3,0,0.755,43.89
13.804,37.32,23,5,1,0.141,24.41
10.762,19.92,17,1,0,0.659,34.82
8.18,23.39,14,4,0,0.585,23.39
9.503,32.82,21,5,1,0.138,17.48
2.903,15.45,7,3,0,0.959,12.96
2.486,29.6,10,4,0,0.458,5.31
9.73,21.71,15,2,0,0.594,28.31
4.263,19.99,17,2,0,0.67,14.54
6.23,25.45,15,1,0,0.59,15.67
12.886,40.28,3,6,1,0.07,21.6
11.572,39.57,21,3,0,0.004,17.57
5.677,33.63,9,6,1,0.19,12.25
11.068,36.31,21,4,0,0.074,19.3
13.472,24.02,12,1,0,0.57,34.94
7.482,40.16,2,3,0,0.027,11.26
1.337,39.55,6,2,0,0.083,3.07
12.785,29.76,0,1,0,0.263,28.22
0.899,30.66,10,0,0,0.312,4.14
8.934,29.04,10,2,0,0.428,19.27
12.675,30.12,12,3,0,0.429,27.31
13.389,20.11,17,3,0,0.682,40.59
4.788,37.65,15,6,1,0.01,8.37
13.253,41.28,0,2,0,0.029,21.33
1.191,35.09,3,1,0,0.232,3.33
7.218,35.71,20,3,0,0.128,12.22
2.354,16.33,8,0,0,0.836,10.46
3.408,39.09,6,5,1,0.003,6.33
13.3,40.06,21,6,1,0.057,21.52
6.531,33.52,12,6,1,0.183,13.93
12.361,28.78,15,2,0,0.381,28.27
6.383,35.46,15,5,1,0.118,12.28
10.085,31.05,22,6,1,0.226,21.06
7.487,12.77,16,3,0,0.98,36.76
2.384,32.17,4,5,1,0.234,6.88
7.008,34.81,1,6,1,0.214,13.23
13.854,33.24,22,1,0,0.219,27.02
3.331,38.2,12,5,1,0.101,7.68
12.92,18.14,16,3,0,0.868,43.52
7.496,33.56,3,3,0,0.115,13.47
12.665,34.0,7,5,1,0.211,22.94
10.721,36.09,18,5,1,0.164,20.24
1.249,33.61,0,4,0,0.216,4.23
8.514,24.62,11,2,0,0.564,22.77
10.319,37.35,11,6,1,0.095,16.75
5.037,34.88,22,2,0,0.255,11.12
9.606,21.02,19,3,0,0.675,27.89
6.469,36.02,5,0,0,0.129,12.97
9.28,36.64,23,2,0,0.107,16.89
1.546,31.15,14,6,1,0.283,4.58
10.236,40.61,14,6,1,0.06,15.38
4.529,35.63,17,6,1,0.13,10.08
1.479,22.63,9,0,0,0.641,5.31
3.252,20.97,19,0,0,0.682,10.61
1.574,36.77,2,1,0,0.155,3.94
10.502,41.4,10,6,1,0.023,15.41
14.296,32.83,8,5,1,0.209,27.51
9.804,36.73,21,2,0,0.112,17.42
7.035,38.35,15,5,1,0.094,13.17
14.228,10.31,9,4,0,0.978,84.61
13.303,33.99,23,5,1,0.188,25.05
6.091,35.23,6,0,0,0.163,12.72
3.697,15.04,8,4,0,0.847,16.41
7.722,40.27,21,1,0,0.028,13.38
13.761,28.91,14,6,1,0.245,31.05
3.823,26.84,10,0,0,0.501,10.3
3.458,33.01,6,0,0,0.246,6.32
1.619,35.78,1,2,0,0.138,4.55
9.298,29.63,10,1,0,0.412,19.79
7.656,36.16,12,5,1,0.119,13.99
4.174,23.06,13,2,0,0.531,12.86
5.337,32.27,0,5,1,0.258,10.01
11.917,34.24,1,4,0,0.262,22.13
8.258,25.67,10,4,0,0.535,20.35
7.751,31.45,10,1,0,0.307,14.93
7.621,36.24,3,3,0,0.032,14.53
6.44,19.87,17,0,0,0.704,19.63
3.192,32.17,20,1,0,0.265,7.99
10.434,35.94,2,3,0,0.087,18.71
8.266,35.79,20,4,0,0.106,15.93
11.945,32.14,22,5,1,0.274,23.19
7.832,37.82,6,0,0,0.096,14.69
1.626,30.84,12,2,0,0.405,5.37
5.499,28.28,15,2,0,0.424,11.7
4.791,27.0,14,4,0,0.423,11.87
6.729,36.18,22,4,0,0.216,12.99
7.967,38.88,21,5,1,0.025,13.18
2.028,36.28,3,1,0,0.156,4.87
4.058,35.61,22,6,1,0.117,9.24
9.436,32.62,8,6,1,0.226,19.54
10.345,32.74,7,6,1,0.226,20.32
8.843,37.44,15,6,1,0.035,15.69
2.199,36.13,6,1,0,0.154,5.35
11.708,32.84,6,4,0,0.233,22.92
12.931,33.65,2,6,1,0.266,25.26
11.104,16.58,8,0,0,0.786,42.37
3.45,30.77,11,2,0,0.386,8.78
6.366,36.17,14,2,0,0.304,11.58
9.893,18.05,17,2,0,0.712,34.75
12.795,12.07,19,0,0,0.993,64.71
7.944,36.93,21,6,1,0.069,14.73
9.322,36.71,22,5,1,0.112,16.16
1.157,28.89,10,2,0,0.414,3.34
9.664,39.59,1,4,0,0.031,14.77
8.925,13.81,8,1,0,0.819,40.46
11.498,38.72,2,4,0,0.062,19.6
6.106,33.05,8,6,1,0.267,12.98
9.159,35.47,3,1,0,0.174,17.08
2.769,13.9,9,4,0,0.887,12.73
4.002,31.73,1,5,1,0.261,9.38
11.313,26.44,15,0,0,0.475,26.8
14.398,32.56,16,5,1,0.208,27.19
14.116,38.63,0,5,1,0.081,22.47
9.132,33.02,21,1,0,0.199,18.63
11.781,38.81,22,6,1,0.056,19.13
6.769,37.01,0,4,0,0.078,11.06
13.248,35.46,2,6,1,0.167,23.22
13.52,32.04,23,6,1,0.27,27.81
12.469,36.85,1,2,0,0.244,21.06
5.113,30.75,2,3,0,0.268,12.1
6.387,31.65,15,4,0,0.37,12.2
12.638,27.81,10,1,0,0.469,28.83
13.034,19.35,9,2,0,0.832,41.4
3.819,31.47,18,6,1,0.278,9.6
5.458,39.9,4,6,1,0.063,9.99
9.101,25.43,10,2,0,0.55,22.38
13.023,31.45,23,6,1,0.278,26.46
14.627,35.57,21,1,0,0.166,26.54
12.249,38.42,0,6,1,0.061,20.26
14.257,14.72,17,3,0,0.874,58.17
2.986,28.66,14,3,0,0.436,7.85
14.326,27.09,12,4,0,0.475,33.81
9.817,34.07,21,1,0,0.222,19.05
1.465,12.08,16,3,0,0.952,9.48
10.056,30.28,6,4,0,0.293,21.93
13.326,23.19,8,2,0,0.68,35.02
